食物编码,食物名称,食部,水分,能量,蛋白质,脂肪,碳水化合物,不溶性膳食纤维 ,胆固醇,灰分,总维生素A,胡萝卜素,视黄醇,硫胺素,核黄素,烟酸  ,维生素 C,维生素 E,钙,磷,钾,钠,镁,铁,锌,硒,铜,锰,备注,
,,%,g,kcal,g,g,g,g,mg,  g,HgRAE,μg,μg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,μg,mg,mg,,
124113,鲜贝,100,80.3,77,15.7,0.5,2.5,0,116,1,-,－,-,-,0.21,2.5,-,1.46,28,166,226,120,31,0.7,2.08,57.35,-,0.33,,
124114,银蚶[蚶子],27,82.7,71,12.2,1.4,2.3,0,89,1.4,－,－,－,-,0.06,0.9,-,0.55,49,111,76,280.1,59,7.3,1.64,86.3,0.13,0.71,  浙江,
124115,贻贝(鲜)[淡菜、壳菜],49,79.9,80,11.4,1.7,4.7,0,123,2.3,73,－,73,0.12,0.22,1.8,-,14.02,63,197,157,451.4,56,6.7,2.47,57.77,0.13,0.41,,
124116,贻贝(干)[淡菜、壳菜],100,15.6,355,47.8,9.3,20.1,0,493,7.2,36,－,36,0.04,0.32,4.3,-,7.35,157,454,264,779,169,12.5,6.71,120.47,0.73,1.27,,
124117,海蚌[西施舌],47,87.7,42,9.5,0.3,0.2,0,101,2.3,10,－,10,0,0.03,-,-,1.51,63,100,159,793,46,3,2.34,46.24,0.13,0.1,福建,
124118,鲍鱼(皱纹鲍,40,79.9,75,13.7,0.1,4.8,－,－,1.5,－,－,－,0.06,0.01,－,-,－,4,130,207,310.9,46,2.7,0.78,－,0.81,0.03,,
124201x,蛤蜊(代表值),39,84.1,62,10.1,1.1,2.8,0,156,1.9,21,－,21,0.01,0.13,1.5,-,2.41,133,128,140,425.7,78,10.9,2.38,54.31,0.11,0.44,,
124202,蛤蜊(花蛤蜊,46,87.2,45,7.7,0.6,2.2,0,63,2.3,23,－,23,-,0.13,1.9,-,0.51,59,126,235,309,82,6.1,1.19,77.1,0.2,0.39,福建,
124203,蛤蜊(毛蛤蜊),25,75.6,97,15,1,7.1,0,113,1.3,－,－,－,0.01,0.14,1.4,-,3.54,137,116,164,363,87,15.3,2.29,68.3,0.09,0.53,青岛,
124204,蛤蜊(秋蛤蜊,26,76.4,89,15.6,0.7,5,0,180,2.3,-,－,-,0.03,0.2,1.8,-,7.9,177,166,123,492.3,108,22,2.69,87.1,0.16,1.03,青岛,
124205,蛤蜊(沙蛤蜊),50,86.6,56,8.9,1.9,0.8,0,74,1.8,－,－,-,0.01,0.01,1.7,-,2.26,111,97,109,577.7,66,6.5,1.64,28.1,0.03,0.14,山东,
124206,蛤蜊(杂色蛤蜊),40,87.7,53,7.5,2.2,0.7,0,106,1.9,－,－,-,0.01,0.21,1.5,-,3.86,177,161,97,494.6,59,12.7,5.13,40.6,0.11,0.41,山东,
124301x,螺(代表值),41,73.6,100,15.7,1.2,6.6,0,,2.9,26,－,26,0.03,0.4,1.8,-,7.58,722,118,167,153.3,143,7,4.6,37.94,1.05,0.72,,
124302,红螺,55,68.7,119,20.2,0.9,7.6,0,177,2.6,50,－,50,-,0.46,0.2,-,20.7,539,152,179,219.6,191,5.3,3.34,74.78,0.05,0.34,山东,
124303,黄螺[东风螺],43,70.7,106,19.8,1,4.5,0,167,4,2,－,2,0.06,1.02,2.1,-,0.33,55,140,297,129.4,32,3.3,2.21,27.52,1.05,0.42,福州,
124304,螺蛳,37,83.3,59,7.5,0.6,6,0,86,2.6,-,－,-,-,0.28,2,-,0.43,156,98,75,252.6,178,1.4,10.27,16.95,1.52,1.05,济南,
124305,石螺,27,75.2,90,12.8,0.7,8.2,0,198,3.1,-,－,-,0.02,0.2,0.7,-,1.57,2458,118,21,13,147,9,6.17,12.46,2.14,0.42,广东,
124306,田螺,26,82,60,11,0.2,3.6,0,154,3.2,-,－,-,0.02,0.19,2.2,-,0.75,1030,93,98,26,77,19.7,2.71,16.73,0.8,1.26,上海,
124307,香海螺,59,61.6,163,22.7,3.5,10.1,0,195,2.1,－,－,-,－,0.24,3.3,-,7.17,91,109,333,278.9,231,3.2,2.89,79.2,0.72,0.84,青岛,
124308,海蚌(鲜),65,85.5,51,6.9,0.2,5.5,0,9,1.9,－,－,－,－,－,－,-,2.59,86,70,448,810.9,3,18.9,9.3,0.11,－,0.15,福建,
